,IATA_CODE,AIRPORT,CITY,LATITUDE,LONGITUDE,IATA_CODE,YEAR
,,,,,,len,len
,,,,,,,
180,LFT,Lafayette Regional Airport,Lafayette,30.20528,-91.98765999999999,5149,5149
181,LGA,LaGuardia Airport (Marine Air Terminal),New York,40.77724,-73.87261,99605,99605
182,LGB,Long Beach Airport (Daugherty Field),Long Beach,33.81772,-118.15161,8777,8777
183,LIH,Lihue Airport,Lihue,21.97598,-159.33896000000001,10545,10545
184,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,34.7294,-92.22425,10422,10422
185,LNK,Lincoln Airport (Lincoln Municipal),Lincoln,40.850970000000004,-96.75925,2636,2636
186,LRD,Laredo International Airport,Laredo,27.543740000000003,-99.46154,2202,2202
187,LSE,La Crosse Regional Airport,La Crosse,43.87938,-91.25654,1645,1645
188,LWS,Lewiston-Nez Perce County Airport,Lewiston,46.3745,-117.01539,588,588
189,MAF,Midland International Airport,Midland,31.942529999999998,-102.20191,7527,7527
190,MBS,MBS International Airport,Saginaw,43.53291,-84.07965,1721,1721
191,MCI,Kansas City International Airport,Kansas City,39.29761,-94.71391,38665,38665
192,MCO,Orlando International Airport,Orlando,28.428890000000003,-81.31603,110982,110982
193,MDT,Harrisburg International Airport,Harrisburg,40.1935,-76.7634,3285,3285
194,MDW,Chicago Midway International Airport,Chicago,41.78598,-87.75242,80886,80886
195,MEI,Meridian Regional Airport,Meridian,32.33313,-88.75121,907,907
196,MEM,Memphis International Airport,Memphis,35.04242,-89.97667,14770,14770
197,MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,26.175829999999998,-98.23861,3411,3411
198,MFR,Rogue Valley International Airport,Medford,42.37423,-122.8735,2476,2476
199,MGM,Montgomery Regional Airport,Montgomery,32.30064,-86.39398,3171,3171
200,MHK,Manhattan Regional Airport,Manhattan,39.14097,-96.67083000000001,1634,1634
201,MHT,Manchester-Boston Regional Airport,Manchester,42.93452,-71.43706,6292,6292
202,MIA,Miami International Airport,Miami,25.79325,-80.29056,69341,69341
203,MKE,General Mitchell International Airport,Milwaukee,42.94722,-87.89658,29825,29825
204,MKG,Muskegon County Airport,Muskegon,43.16949,-86.23822,667,667
205,MLB,Melbourne International Airport,Melbourne,28.10275,-80.64581,1332,1332
206,MLI,Quad City International Airport,Moline,41.44853,-90.50754,3777,3777
207,MLU,Monroe Regional Airport,Monroe,32.510870000000004,-92.03769,2961,2961
208,MMH,Mammoth Yosemite Airport,Mammoth Lakes,37.62405,-118.83776999999999,156,156
209,MOB,Mobile Regional Airport,Mobile,30.69142,-88.24283,5018,5018
210,MOT,Minot International Airport,Minot,48.25938,-101.28033,1850,1850
211,MQT,Sawyer International Airport,Marquette,46.353640000000006,-87.39536,304,304
212,MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,36.58698,-121.84295,2974,2974
213,MSN,Dane County Regional Airport,Madison,43.13986,-89.33751,9135,9135
214,MSO,Missoula International Airport,Missoula,46.916309999999996,-114.09056000000001,2077,2077
215,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,44.88055,-93.21692,112117,112117
216,MSY,Louis Armstrong New Orleans International Airport,New Orleans,29.99339,-90.25803,38804,38804
217,MTJ,Montrose Regional Airport,Montrose,38.50887,-107.89383000000001,1001,1001
218,MVY,Martha's Vineyard Airport,Marthas Vineyard,41.393029999999996,-70.61433000000001,205,205
219,MYR,Myrtle Beach International Airport,Myrtle Beach,33.67975,-78.92833,4831,4831
220,OAJ,Albert J. Ellis Airport,Jacksonville,34.829159999999995,-77.61214,1136,1136
221,OAK,Oakland International Airport,Oakland,37.72129,-122.22072,42316,42316
222,OGG,Kahului Airport,Kahului,20.89865,-156.43046,20627,20627
223,OKC,Will Rogers World Airport,Oklahoma City,35.39309,-97.60073,16144,16144
224,OMA,Eppley Airfield,Omaha,41.30252,-95.89416999999999,16753,16753
225,OME,Nome Airport,Nome,64.5122,-165.44525,663,663
226,ONT,Ontario International Airport,Ontario,34.056,-117.60118999999999,17978,17978
227,ORD,Chicago O'Hare International Airport,Chicago,41.9796,-87.90446,285884,285884
228,ORF,Norfolk International Airport,Norfolk,36.89461,-76.20121999999999,9374,9374
229,ORH,Worcester Regional Airport,Worcester,42.267340000000004,-71.87571,663,663
230,OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,43.41714,-124.24603,275,275
231,OTZ,Ralph Wien Memorial Airport,Kotzebue,66.88468,-162.59855,663,663
232,PAH,Barkley Regional Airport,Paducah,37.060829999999996,-88.77375,666,666
233,PBI,Palm Beach International Airport,West Palm Beach,26.683159999999997,-80.09559,22573,22573
234,PDX,Portland International Airport,Portland,45.58872,-122.5975,47085,47085
235,PHF,Newport News/Williamsburg International Airport,Newport News,37.1319,-76.49299,1263,1263
236,PHL,Philadelphia International Airport,Philadelphia,39.87195,-75.24114,66021,66021
237,PHX,Phoenix Sky Harbor International Airport,Phoenix,33.43417,-112.00806000000001,146815,146815
238,PIA,General Wayne A. Downing Peoria International Airport,Peoria,40.66424,-89.69331,4664,4664
239,PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,31.46715,-89.33706,573,573
240,PIH,Pocatello Regional Airport,Pocatello,42.91131,-112.59586000000002,654,654
241,PIT,Pittsburgh International Airport,Pittsburgh,40.49147,-80.23286999999999,24118,24118
